TAZID,commercial,resident,industrial,public,transport,other
153,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
154,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
155,0.163199,0.158091,0.164714,0.155971,0.185132,0.172893
156,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
157,0.158967,0.154997,0.166363,0.155514,0.19079,0.173369
158,0.158615,0.154431,0.166582,0.155016,0.192548,0.172807
159,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
160,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
161,0.161674,0.157179,0.165365,0.156032,0.18742,0.17233
162,0.16242,0.15742,0.16527,0.156378,0.185929,0.172583
163,0.161907,0.157108,0.165515,0.155766,0.187168,0.172535
164,0.158828,0.155388,0.166047,0.155564,0.190942,0.17323
165,0.158359,0.154216,0.166652,0.154824,0.19326,0.172689
166,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
167,0.166668,0.159973,0.162654,0.155444,0.183277,0.171984
168,0.158894,0.155182,0.166091,0.155773,0.191354,0.172706
169,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
170,0.16664,0.160042,0.162607,0.155408,0.183106,0.172197
171,0.158483,0.154405,0.166705,0.154776,0.192964,0.172666
172,0.16122,0.156684,0.165534,0.155903,0.188103,0.172556
173,0.166559,0.160201,0.162475,0.155589,0.183427,0.171749
174,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
175,0.16837,0.161404,0.160914,0.155448,0.181978,0.171887
176,0.161432,0.157131,0.165714,0.155444,0.188204,0.172075
177,0.162001,0.157179,0.165322,0.156066,0.186783,0.172649
178,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
179,0.161917,0.157304,0.165304,0.156055,0.186743,0.172678
180,0.16197,0.157246,0.165306,0.156446,0.186437,0.172594
181,0.158771,0.154471,0.166693,0.15516,0.192071,0.172833
182,0.161817,0.157032,0.165358,0.156048,0.187242,0.172503
183,0.158454,0.15453,0.166184,0.155005,0.192973,0.172855
184,0.165065,0.15864,0.164237,0.155689,0.183777,0.172591
185,0.16071,0.156212,0.165917,0.155507,0.189054,0.172599
186,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
187,0.166645,0.160027,0.162635,0.155289,0.183126,0.172277
188,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
189,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
190,0.166599,0.159992,0.16269,0.155499,0.18316,0.172059
191,0.161933,0.157045,0.165432,0.156074,0.187005,0.172512
192,0.167204,0.159715,0.16243,0.155664,0.182259,0.172729
193,0.165094,0.158607,0.164122,0.155442,0.183976,0.172758
194,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
195,0.163393,0.15797,0.164784,0.156105,0.185164,0.172584
196,0.160448,0.156045,0.166007,0.155524,0.189535,0.172441
197,0.163098,0.158065,0.164879,0.155764,0.185955,0.17224
198,0.161175,0.156621,0.165644,0.155846,0.1881,0.172614
199,0.166628,0.159922,0.162707,0.155538,0.18297,0.172235
200,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
201,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
202,0.158668,0.154187,0.166668,0.154902,0.192757,0.172818
203,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
204,0.162214,0.157121,0.165143,0.156321,0.186442,0.172759
205,0.160641,0.156427,0.165527,0.155963,0.188729,0.172714
206,0.158665,0.154762,0.166311,0.155307,0.192041,0.172914
207,0.158442,0.15444,0.166442,0.154992,0.192833,0.17285
208,0.166725,0.15988,0.162571,0.155524,0.182934,0.172366
209,0.157995,0.154083,0.16697,0.154402,0.19438,0.17217
210,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
211,0.16327,0.158168,0.164719,0.155748,0.185271,0.172824
212,0.1668,0.159783,0.162632,0.15562,0.182795,0.172371
213,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
214,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
215,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
216,0.161871,0.156968,0.165404,0.155936,0.187238,0.172583
217,0.162122,0.157006,0.16528,0.156162,0.186814,0.172616
218,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
219,0.169632,0.162258,0.15964,0.155244,0.181192,0.172034
220,0.158417,0.154494,0.16664,0.154928,0.192692,0.17283
221,0.166639,0.160177,0.162463,0.155603,0.183219,0.1719
222,0.160651,0.156352,0.165926,0.15539,0.189065,0.172616
223,0.160653,0.156328,0.165776,0.155484,0.18906,0.1727
224,0.158793,0.154973,0.165821,0.157202,0.190243,0.172968
225,0.158181,0.154129,0.166696,0.154755,0.193859,0.17238
226,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
227,0.166711,0.160032,0.162612,0.155463,0.182943,0.172239
228,0.160952,0.156638,0.165806,0.155599,0.188742,0.172263
229,0.16693,0.159991,0.162496,0.155266,0.1828,0.172517
230,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
231,0.160529,0.156232,0.165833,0.155544,0.189314,0.172548
232,0.163511,0.157922,0.164819,0.156029,0.184979,0.17274
233,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
234,0.166427,0.160203,0.162667,0.155321,0.183772,0.171611
235,0.166423,0.160159,0.162441,0.155662,0.183533,0.171783
236,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
237,0.158852,0.155083,0.16646,0.155197,0.191112,0.173296
238,0.16489,0.158829,0.164242,0.155422,0.184526,0.172092
239,0.163376,0.15806,0.164622,0.155964,0.185267,0.17271
240,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
241,0.166736,0.159971,0.162741,0.155387,0.182515,0.17265
242,0.165433,0.159137,0.163693,0.155462,0.183921,0.172354
243,0.166303,0.160435,0.162532,0.155463,0.183959,0.171308
244,0.161264,0.156552,0.165599,0.155928,0.187993,0.172664
245,0.16331,0.15798,0.164831,0.155844,0.185129,0.172906
246,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
247,0.160894,0.156612,0.165805,0.15559,0.188688,0.172411
248,0.163506,0.157947,0.164606,0.156136,0.184962,0.172844
249,0.158537,0.154881,0.166725,0.154925,0.191831,0.173101
250,0.158879,0.154877,0.166738,0.155237,0.191648,0.172622
251,0.162146,0.157137,0.165243,0.156263,0.186545,0.172665
252,0.169442,0.162092,0.159737,0.155385,0.181062,0.172282
253,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
254,0.163257,0.158021,0.164897,0.155909,0.185322,0.172595
255,0.165152,0.158503,0.164329,0.155463,0.183799,0.172754
256,0.158911,0.154664,0.166498,0.154948,0.191926,0.173054
257,0.161763,0.156981,0.165378,0.156059,0.1873,0.172518
258,0.161989,0.157153,0.165246,0.155932,0.187042,0.172639
259,0.158501,0.154329,0.166655,0.154868,0.192887,0.172762
260,0.163368,0.157959,0.164627,0.156112,0.18516,0.172774
261,0.158882,0.154653,0.16653,0.155224,0.191866,0.172845
262,0.16354,0.157991,0.16463,0.156329,0.184644,0.172865
263,0.162022,0.157211,0.165097,0.156296,0.186709,0.172664
264,0.158672,0.155509,0.165762,0.155941,0.19066,0.173456
265,0.158797,0.154601,0.166284,0.155103,0.192078,0.173137
266,0.15877,0.154842,0.165853,0.155783,0.191725,0.173026
267,0.158768,0.154438,0.166423,0.155158,0.19226,0.172952
268,0.158747,0.154521,0.166465,0.155337,0.192152,0.172778
269,0.161837,0.157345,0.165207,0.156168,0.186785,0.172658
270,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
271,0.158856,0.154574,0.166295,0.155333,0.192045,0.172896
272,0.162013,0.157089,0.165263,0.156034,0.18696,0.172642
273,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
274,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
275,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
276,0.169612,0.16228,0.159757,0.155265,0.181111,0.171975
277,0.164862,0.15878,0.164314,0.155395,0.184173,0.172476
278,0.158558,0.154432,0.166531,0.154984,0.192738,0.172756
279,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
280,0.161133,0.156592,0.165652,0.15588,0.188178,0.172564
281,0.163158,0.15797,0.165047,0.155971,0.185308,0.172547
282,0.163455,0.157988,0.16454,0.156148,0.184858,0.173011
283,0.158606,0.154611,0.16613,0.15557,0.192198,0.172885
284,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
285,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
286,0.166706,0.160293,0.162327,0.155543,0.183604,0.171527
287,0.158792,0.15431,0.166576,0.154956,0.192563,0.172803
288,0.161979,0.157355,0.16527,0.156185,0.186444,0.172766
289,0.166648,0.160129,0.162594,0.155252,0.183374,0.172002
290,0.163199,0.157916,0.164915,0.155885,0.185424,0.172661
291,0.162306,0.157119,0.165207,0.156342,0.186435,0.172592
292,0.169379,0.162642,0.159757,0.155363,0.181533,0.171325
293,0.161899,0.15709,0.165302,0.156079,0.187167,0.172463
294,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
295,0.166448,0.160176,0.162717,0.155389,0.18363,0.171641
296,0.163601,0.158012,0.164492,0.156111,0.18466,0.173123
297,0.158889,0.15456,0.166333,0.155118,0.192244,0.172856
298,0.158667,0.154694,0.166436,0.155134,0.192211,0.172858
299,0.160178,0.155929,0.166039,0.15542,0.189818,0.172616
300,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
301,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
302,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
303,0.158225,0.153989,0.166767,0.154691,0.193809,0.172519
304,0.160548,0.156121,0.166085,0.155622,0.189104,0.172521
305,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
306,0.169536,0.162234,0.159705,0.155313,0.18122,0.171992
307,0.166808,0.15995,0.162634,0.155235,0.183059,0.172312
308,0.163268,0.158095,0.165099,0.155501,0.186035,0.172003
309,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
310,0.160461,0.156238,0.166037,0.155466,0.189276,0.172522
311,0.162593,0.157505,0.16513,0.155985,0.186062,0.172725
312,0.164814,0.158812,0.164018,0.155647,0.184172,0.172536
313,0.16199,0.157135,0.165362,0.156104,0.186891,0.172517
314,0.164936,0.158566,0.164109,0.155927,0.183698,0.172765
315,0.16323,0.15767,0.16508,0.155976,0.185302,0.172742
316,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
317,0.161216,0.156667,0.165479,0.156004,0.187951,0.172683
318,0.158257,0.154292,0.166477,0.154949,0.193288,0.172736
319,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
320,0.158639,0.154392,0.16662,0.154897,0.192501,0.172951
321,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
322,0.162033,0.157224,0.165172,0.156038,0.186848,0.172685
323,0.166614,0.160079,0.162715,0.155357,0.183194,0.172041
324,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
325,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
326,0.158926,0.15476,0.166697,0.155161,0.191572,0.172883
327,0.16109,0.156551,0.16581,0.155691,0.188333,0.172525
328,0.161949,0.157146,0.165361,0.156102,0.187017,0.172426
329,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
330,0.166682,0.160073,0.162651,0.155362,0.183144,0.172088
331,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
332,0.166283,0.160333,0.162547,0.155463,0.18379,0.171582
333,0.158712,0.154545,0.166357,0.155076,0.192376,0.172934
334,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
335,0.166561,0.16013,0.16264,0.155418,0.183509,0.171743
336,0.163235,0.158033,0.164779,0.155937,0.185251,0.172764
337,0.161836,0.15741,0.165244,0.156025,0.186774,0.172711
338,0.158509,0.15474,0.166236,0.155655,0.1921,0.17276
339,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
340,0.166745,0.159891,0.162708,0.155486,0.182928,0.172242
341,0.158427,0.15434,0.16662,0.154967,0.192787,0.172858
342,0.158294,0.154211,0.166836,0.154974,0.192978,0.172706
343,0.1618,0.157046,0.165381,0.155996,0.187122,0.172653
344,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
345,0.166625,0.159939,0.162714,0.155327,0.183106,0.17229
346,0.162145,0.157097,0.165357,0.156027,0.186765,0.172609
347,0.169588,0.162423,0.159761,0.155082,0.181365,0.171782
348,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
349,0.158675,0.154639,0.166469,0.155159,0.192203,0.172855
350,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
351,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
352,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
353,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
354,0.164988,0.158722,0.164146,0.155674,0.183865,0.172605
355,0.16979,0.162047,0.159732,0.155335,0.180792,0.172304
356,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
357,0.166579,0.160023,0.162556,0.155464,0.183206,0.172173
358,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
359,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
360,0.158695,0.154685,0.166407,0.155063,0.192191,0.172959
361,0.162281,0.157114,0.165134,0.156241,0.186547,0.172682
362,0.166406,0.160206,0.16281,0.155273,0.183734,0.171571
363,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
364,0.15868,0.154735,0.166317,0.155142,0.192214,0.172912
365,0.163165,0.158106,0.164702,0.156071,0.185747,0.17221
366,0.161875,0.157103,0.165452,0.155959,0.187067,0.172545
367,0.162426,0.15732,0.165436,0.156038,0.186347,0.172433
368,0.163314,0.157976,0.164782,0.155903,0.185287,0.172739
369,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
370,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
371,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
372,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
373,0.161838,0.157154,0.165266,0.156067,0.187265,0.172409
374,0.1606,0.156272,0.165811,0.155608,0.189134,0.172576
375,0.166783,0.159843,0.162768,0.155461,0.182897,0.172249
376,0.158551,0.154486,0.166326,0.15514,0.192821,0.172677
377,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
378,0.158586,0.154423,0.166695,0.154854,0.192728,0.172715
379,0.158566,0.154595,0.166642,0.154925,0.192316,0.172956
380,0.159017,0.154777,0.166144,0.155477,0.191357,0.173228
381,0.160661,0.156231,0.16577,0.155841,0.188902,0.172594
382,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
383,0.158687,0.154293,0.166442,0.154824,0.193015,0.172738
384,0.158842,0.154771,0.166236,0.155281,0.191747,0.173124
385,0.162379,0.157527,0.165133,0.156075,0.186236,0.172651
386,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
387,0.164805,0.158779,0.163978,0.155642,0.184062,0.172734
388,0.158816,0.154405,0.16644,0.155248,0.192404,0.172688
389,0.163333,0.157903,0.164784,0.15609,0.18519,0.1727
390,0.158376,0.154204,0.166767,0.154831,0.193165,0.172657
391,0.169402,0.162474,0.159725,0.155185,0.181467,0.171747
392,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
393,0.158884,0.154622,0.16667,0.154679,0.192331,0.172814
394,0.166833,0.159856,0.162618,0.155327,0.182784,0.172583
395,0.161926,0.15719,0.1652,0.15608,0.186986,0.172618
396,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
397,0.15919,0.154715,0.165929,0.155447,0.191815,0.172904
398,0.166761,0.159979,0.162607,0.155304,0.182958,0.172391
399,0.162509,0.157386,0.165085,0.156279,0.186026,0.172716
400,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
401,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
402,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
403,0.16961,0.162469,0.15966,0.155162,0.181478,0.171621
404,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
405,0.160515,0.156226,0.166042,0.155377,0.189301,0.172538
406,0.158833,0.154634,0.166235,0.155218,0.192105,0.172975
407,0.163368,0.157978,0.164581,0.156209,0.184991,0.172874
408,0.166575,0.160075,0.162604,0.155393,0.183614,0.17174
409,0.16655,0.160135,0.162506,0.155222,0.183464,0.172123
410,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
411,0.158044,0.154169,0.166899,0.154739,0.193833,0.172317
412,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
413,0.158712,0.154606,0.166404,0.154875,0.192299,0.173104
414,0.163177,0.158109,0.164632,0.15604,0.185197,0.172845
415,0.163404,0.158028,0.16455,0.1559,0.184956,0.173162
416,0.161238,0.15664,0.165593,0.156024,0.187956,0.172549
417,0.163191,0.15794,0.165054,0.155793,0.185606,0.172415
418,0.166711,0.159877,0.162622,0.155519,0.183043,0.172229
419,0.163307,0.158101,0.164763,0.155995,0.185219,0.172615
420,0.158696,0.154856,0.166639,0.154988,0.191907,0.172914
421,0.158322,0.154253,0.166614,0.154722,0.193118,0.172971
422,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
423,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
424,0.158516,0.154223,0.166668,0.154568,0.193007,0.173018
425,0.161015,0.156532,0.165818,0.155706,0.18843,0.1725
426,0.161008,0.156464,0.165715,0.155757,0.188456,0.1726
427,0.166628,0.1601,0.162643,0.15535,0.183331,0.171947
428,0.161293,0.156607,0.165537,0.156059,0.187851,0.172653
429,0.15909,0.154536,0.166086,0.15513,0.192206,0.172952
430,0.158518,0.154482,0.166453,0.154931,0.192889,0.172727
431,0.1632,0.158172,0.164783,0.155668,0.185824,0.172353
432,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
433,0.164999,0.158614,0.164243,0.155604,0.183996,0.172544
434,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
435,0.161853,0.157045,0.165572,0.15576,0.187331,0.172438
