TAZ,commercial_commercial,commercial_resident,commercial_industrial,commercial_public,commercial_transport,commercial_other,resident_commercial,resident_resident,resident_industrial,resident_public,resident_transport,resident_other,industrial_commercial,industrial_resident,industrial_industrial,industrial_public,industrial_transport,industrial_other,public_commercial,public_resident,public_industrial,public_public,public_transport,public_other,transport_commercial,transport_resident,transport_industrial,transport_public,transport_transport,transport_other,other_commercial,other_resident,other_industrial,other_public,other_transport,other_other
12,7.0,1.0,4.0,2.0,0.0,4.0,1.0,7.0,1.0,0.0,4.0,1.0,2.0,1.0,6.0,2.0,2.0,4.0,9.0,1.0,4.0,11.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,9.0
13,11.0,1.0,3.0,3.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,0.0,1.0,2.0,14.0,4.0,2.0,7.0,1.0,3.0,1.0,7.0,1.0,2.0,3.0,0.0,2.0,4.0,11.0,2.0,2.0,7.0,0.0,1.0,0.0,2.0
14,13.0,1.0,5.0,1.0,0.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,7.0,2.0,2.0,3.0,1.0,1.0,3.0,7.0,3.0,2.0,1.0,2.0,1.0,3.0,11.0,0.0,1.0,1.0,1.0,2.0,2.0,11.0
15,7.0,1.0,0.0,3.0,1.0,1.0,1.0,10.0,3.0,6.0,2.0,2.0,0.0,1.0,9.0,3.0,5.0,3.0,2.0,2.0,3.0,9.0,2.0,1.0,0.0,2.0,0.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,7.0
16,8.0,3.0,3.0,1.0,0.0,0.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,5.0,6.0,0.0,5.0,2.0,0.0,1.0,3.0,12.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,4.0,4.0,11.0
17,7.0,4.0,2.0,0.0,1.0,0.0,2.0,12.0,3.0,0.0,4.0,1.0,1.0,5.0,8.0,3.0,1.0,1.0,0.0,2.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,3.0,1.0,1.0,6.0
18,9.0,4.0,2.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,5.0,7.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,6.0,5.0,0.0,2.0,2.0,1.0,0.0,7.0,3.0,6.0,5.0,2.0,2.0,2.0,10.0
19,7.0,0.0,6.0,0.0,2.0,1.0,0.0,8.0,2.0,0.0,1.0,3.0,2.0,0.0,17.0,2.0,1.0,0.0,4.0,2.0,0.0,11.0,2.0,1.0,0.0,3.0,3.0,3.0,10.0,2.0,3.0,4.0,2.0,4.0,0.0,10.0
20,4.0,2.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,2.0,0.0,5.0,2.0,4.0,4.0,1.0,0.0,5.0,2.0,2.0,1.0,11.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,4.0,0.0,3.0,3.0,4.0,2.0,11.0
21,3.0,2.0,1.0,1.0,4.0,1.0,4.0,6.0,0.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,14.0,3.0,1.0,3.0,1.0,4.0,2.0,6.0,3.0,1.0,1.0,0.0,4.0,0.0,10.0
22,12.0,1.0,4.0,2.0,5.0,1.0,5.0,11.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,12.0,1.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0
23,5.0,0.0,2.0,1.0,1.0,0.0,2.0,8.0,3.0,0.0,3.0,2.0,2.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,11.0,4.0,2.0,0.0,5.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,3.0,2.0,10.0
24,5.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,6.0,2.0,3.0,2.0,5.0,1.0,0.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,7.0,5.0,1.0,3.0,2.0,3.0,1.0,9.0
25,8.0,5.0,0.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,0.0,7.0,1.0,4.0,3.0,1.0,5.0,0.0,9.0,1.0,3.0,0.0,2.0,2.0,4.0,6.0,3.0,1.0,3.0,2.0,3.0,3.0,8.0
26,6.0,0.0,1.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,4.0,2.0,2.0,4.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,12.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,8.0
27,5.0,3.0,3.0,5.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,11.0,4.0,3.0,2.0,4.0,1.0,2.0,6.0,2.0,4.0,2.0,1.0,0.0,2.0,9.0
28,3.0,6.0,0.0,0.0,2.0,2.0,3.0,12.0,1.0,4.0,1.0,3.0,0.0,1.0,8.0,2.0,2.0,2.0,2.0,3.0,1.0,10.0,0.0,4.0,2.0,4.0,2.0,2.0,10.0,6.0,1.0,5.0,1.0,2.0,1.0,9.0
29,9.0,1.0,1.0,2.0,3.0,1.0,3.0,12.0,8.0,1.0,1.0,2.0,7.0,3.0,13.0,0.0,1.0,0.0,4.0,3.0,5.0,8.0,2.0,1.0,2.0,4.0,3.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0
30,8.0,0.0,1.0,1.0,2.0,2.0,4.0,10.0,2.0,6.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,13.0,1.0,3.0,3.0,3.0,1.0,0.0,12.0
31,5.0,3.0,3.0,1.0,5.0,2.0,2.0,9.0,1.0,0.0,2.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,3.0,2.0,8.0,5.0,3.0,1.0,3.0,3.0,5.0,9.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0
32,3.0,4.0,3.0,3.0,0.0,2.0,2.0,12.0,2.0,2.0,1.0,3.0,3.0,0.0,5.0,2.0,2.0,1.0,1.0,5.0,0.0,11.0,1.0,2.0,4.0,1.0,0.0,1.0,14.0,0.0,1.0,4.0,2.0,1.0,6.0,8.0
33,6.0,1.0,2.0,0.0,2.0,2.0,0.0,5.0,4.0,4.0,1.0,2.0,3.0,4.0,10.0,1.0,2.0,3.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,3.0,7.0,2.0,3.0,1.0,2.0,3.0,2.0,6.0
34,14.0,4.0,3.0,1.0,1.0,0.0,4.0,7.0,3.0,0.0,2.0,4.0,1.0,0.0,6.0,0.0,4.0,5.0,1.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,6.0,12.0
35,10.0,4.0,1.0,1.0,1.0,3.0,4.0,8.0,0.0,3.0,4.0,1.0,3.0,2.0,8.0,4.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,5.0,2.0,0.0,2.0,11.0,1.0,2.0,1.0,2.0,1.0,0.0,9.0
36,6.0,3.0,2.0,1.0,6.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,6.0,0.0,1.0,1.0,3.0,2.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,2.0,13.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0
37,9.0,1.0,1.0,1.0,2.0,3.0,0.0,12.0,0.0,3.0,1.0,5.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,0.0,1.0,3.0,3.0,12.0,2.0,0.0,1.0,2.0,1.0,1.0,6.0
38,13.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,2.0,2.0,2.0,14.0,5.0,3.0,1.0,2.0,5.0,0.0,8.0,5.0,2.0,2.0,3.0,2.0,1.0,7.0,4.0,4.0,2.0,1.0,2.0,0.0,10.0
39,9.0,1.0,2.0,1.0,1.0,4.0,4.0,10.0,1.0,5.0,3.0,1.0,6.0,2.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,12.0,1.0,0.0,4.0,4.0,0.0,1.0,6.0,1.0,4.0,0.0,2.0,2.0,3.0,9.0
40,14.0,2.0,0.0,0.0,3.0,2.0,2.0,11.0,5.0,4.0,1.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,2.0,0.0,2.0,8.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,0.0,3.0,2.0,4.0
41,6.0,4.0,4.0,2.0,3.0,2.0,3.0,10.0,4.0,3.0,1.0,1.0,3.0,6.0,5.0,0.0,1.0,0.0,1.0,4.0,1.0,9.0,2.0,4.0,1.0,2.0,3.0,4.0,14.0,3.0,0.0,2.0,1.0,1.0,1.0,12.0
42,3.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,3.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,0.0,1.0,3.0,16.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,2.0,0.0,16.0
43,4.0,3.0,2.0,0.0,3.0,2.0,1.0,11.0,2.0,3.0,2.0,3.0,3.0,0.0,6.0,0.0,3.0,0.0,2.0,3.0,3.0,7.0,4.0,0.0,6.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,4.0,3.0,2.0,12.0
44,9.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0,0.0,2.0,1.0,2.0,3.0,3.0,6.0,1.0,0.0,2.0,0.0,4.0,3.0,5.0,1.0,3.0,6.0,4.0,1.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0
45,8.0,2.0,0.0,2.0,3.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,3.0,1.0,8.0,4.0,1.0,2.0,4.0,0.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,10.0,1.0,3.0,1.0,3.0,1.0,4.0,10.0
46,6.0,0.0,1.0,4.0,2.0,7.0,4.0,6.0,0.0,4.0,0.0,1.0,2.0,3.0,8.0,2.0,0.0,2.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,10.0
47,12.0,2.0,3.0,0.0,1.0,1.0,7.0,6.0,2.0,2.0,0.0,2.0,3.0,3.0,8.0,4.0,1.0,3.0,1.0,1.0,1.0,10.0,3.0,6.0,0.0,4.0,2.0,1.0,6.0,4.0,2.0,2.0,2.0,1.0,2.0,9.0
48,7.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,5.0,5.0,1.0,2.0,0.0,2.0,7.0,0.0,6.0,2.0,5.0,1.0,2.0,5.0,2.0,3.0,0.0,3.0,3.0,1.0,14.0,1.0,0.0,3.0,1.0,3.0,2.0,8.0
49,7.0,5.0,2.0,1.0,3.0,4.0,1.0,8.0,5.0,1.0,2.0,1.0,2.0,3.0,13.0,1.0,0.0,1.0,4.0,1.0,2.0,13.0,0.0,3.0,2.0,0.0,2.0,4.0,7.0,3.0,4.0,2.0,1.0,3.0,1.0,7.0
50,7.0,1.0,4.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,4.0,1.0,2.0,2.0,6.0,5.0,1.0,2.0,1.0,3.0,5.0,10.0,6.0,2.0,3.0,1.0,2.0,2.0,8.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0
51,6.0,4.0,0.0,2.0,2.0,1.0,2.0,8.0,3.0,3.0,2.0,2.0,5.0,2.0,12.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,7.0,0.0,2.0,4.0,2.0,2.0,3.0,8.0
52,9.0,2.0,1.0,4.0,4.0,1.0,3.0,9.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,6.0,4.0,2.0,3.0,3.0,4.0,3.0,10.0,0.0,3.0,1.0,0.0,2.0,6.0,6.0
53,9.0,2.0,2.0,1.0,1.0,0.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,4.0,1.0,6.0
54,13.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,4.0,4.0,2.0,3.0,10.0,1.0,0.0,1.0,3.0,1.0,3.0,14.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0
55,7.0,3.0,2.0,2.0,3.0,2.0,1.0,12.0,1.0,2.0,4.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,8.0,0.0,2.0,4.0,4.0,4.0,0.0,8.0,2.0,3.0,4.0,1.0,3.0,2.0,7.0
56,10.0,4.0,4.0,2.0,3.0,1.0,3.0,11.0,3.0,0.0,2.0,1.0,1.0,2.0,16.0,1.0,5.0,7.0,2.0,2.0,4.0,8.0,1.0,1.0,0.0,2.0,3.0,2.0,14.0,1.0,1.0,0.0,4.0,7.0,2.0,10.0
57,13.0,1.0,3.0,3.0,4.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,5.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,0.0,9.0
58,5.0,4.0,2.0,0.0,1.0,2.0,4.0,11.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,2.0,3.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,5.0,1.0,5.0,3.0,0.0,1.0,1.0,4.0,4.0,11.0
59,13.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,11.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,9.0,4.0,5.0
60,7.0,3.0,2.0,2.0,2.0,1.0,2.0,10.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,12.0,4.0,2.0,2.0,1.0,3.0,0.0,8.0
61,9.0,1.0,0.0,3.0,0.0,0.0,3.0,6.0,2.0,1.0,2.0,3.0,1.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,3.0,6.0,6.0,1.0,2.0,1.0,1.0,4.0,4.0
62,10.0,0.0,3.0,3.0,2.0,1.0,1.0,6.0,0.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,11.0
63,5.0,4.0,2.0,2.0,4.0,1.0,1.0,12.0,2.0,4.0,1.0,2.0,6.0,2.0,10.0,2.0,4.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,0.0,3.0,1.0,12.0,3.0,2.0,5.0,1.0,4.0,2.0,9.0
64,9.0,0.0,1.0,2.0,2.0,1.0,2.0,11.0,2.0,2.0,1.0,2.0,0.0,2.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,4.0,2.0,1.0,4.0,7.0,2.0,1.0,1.0,2.0,0.0,1.0,14.0
65,9.0,3.0,1.0,2.0,3.0,2.0,2.0,11.0,2.0,3.0,6.0,5.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,0.0,3.0,2.0,2.0,8.0,1.0,4.0,2.0,6.0,6.0,0.0,7.0
66,7.0,3.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,9.0,4.0,5.0,3.0,3.0,3.0,0.0,8.0,0.0,5.0,4.0,1.0,3.0,2.0,8.0,5.0,0.0,2.0,2.0,1.0,2.0,10.0
67,10.0,4.0,1.0,2.0,0.0,4.0,1.0,12.0,0.0,1.0,2.0,4.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,3.0,3.0,8.0,3.0,1.0,4.0,0.0,3.0,1.0,11.0,5.0,3.0,2.0,1.0,1.0,2.0,13.0
68,11.0,2.0,1.0,1.0,0.0,2.0,3.0,5.0,4.0,6.0,1.0,2.0,1.0,0.0,11.0,2.0,0.0,2.0,1.0,4.0,0.0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,11.0,0.0,3.0,2.0,0.0,2.0,2.0,9.0
69,11.0,3.0,0.0,3.0,6.0,4.0,1.0,10.0,2.0,0.0,0.0,3.0,2.0,2.0,11.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,2.0,4.0,12.0,2.0,3.0,2.0,2.0,0.0,6.0,14.0
70,7.0,4.0,2.0,0.0,0.0,3.0,3.0,10.0,4.0,4.0,1.0,2.0,5.0,2.0,9.0,4.0,1.0,2.0,0.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,0.0,6.0
71,12.0,0.0,2.0,4.0,1.0,1.0,0.0,7.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,10.0,1.0,4.0,0.0,2.0,0.0,1.0,7.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0
72,6.0,6.0,1.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,0.0,4.0,3.0,2.0,10.0,4.0,3.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,6.0,3.0,2.0,11.0
73,5.0,1.0,2.0,2.0,2.0,2.0,4.0,13.0,4.0,1.0,4.0,0.0,1.0,1.0,11.0,3.0,0.0,0.0,1.0,0.0,2.0,11.0,3.0,0.0,1.0,3.0,0.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
74,7.0,1.0,2.0,2.0,2.0,3.0,2.0,7.0,4.0,0.0,2.0,2.0,0.0,3.0,11.0,2.0,3.0,2.0,0.0,5.0,2.0,10.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0
75,8.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,7.0,3.0,1.0,4.0,1.0,2.0,1.0,12.0,2.0,1.0,4.0,3.0,0.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0
76,14.0,1.0,3.0,0.0,1.0,1.0,4.0,10.0,2.0,4.0,0.0,1.0,5.0,3.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,6.0,3.0,2.0,0.0,1.0,1.0,2.0,12.0,3.0,1.0,0.0,3.0,1.0,2.0,7.0
77,7.0,2.0,4.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,12.0,2.0,0.0,2.0,3.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,2.0,8.0,7.0
78,8.0,3.0,2.0,2.0,2.0,5.0,1.0,7.0,0.0,3.0,3.0,2.0,2.0,3.0,9.0,0.0,2.0,2.0,4.0,3.0,3.0,8.0,3.0,5.0,2.0,2.0,4.0,2.0,6.0,3.0,4.0,1.0,2.0,2.0,4.0,10.0
79,10.0,2.0,2.0,3.0,2.0,3.0,6.0,8.0,5.0,1.0,2.0,2.0,2.0,1.0,7.0,1.0,2.0,1.0,0.0,5.0,1.0,7.0,0.0,2.0,0.0,2.0,3.0,2.0,7.0,1.0,0.0,2.0,1.0,2.0,2.0,10.0
80,8.0,1.0,2.0,1.0,0.0,3.0,2.0,10.0,0.0,2.0,2.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,3.0,5.0,1.0,2.0,4.0,2.0,11.0,2.0,2.0,3.0,0.0,3.0,1.0,3.0
81,5.0,2.0,2.0,0.0,3.0,5.0,0.0,10.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,1.0,1.0,4.0,2.0,0.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,3.0,10.0
82,9.0,2.0,6.0,3.0,3.0,1.0,1.0,10.0,1.0,3.0,2.0,2.0,0.0,2.0,12.0,3.0,4.0,1.0,1.0,1.0,1.0,14.0,3.0,2.0,2.0,2.0,1.0,1.0,11.0,2.0,4.0,2.0,2.0,2.0,1.0,6.0
83,12.0,1.0,0.0,4.0,1.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,5.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,3.0,10.0,1.0,2.0,3.0,5.0,0.0,3.0,8.0,4.0,3.0,0.0,0.0,2.0,3.0,14.0
84,6.0,5.0,3.0,1.0,4.0,4.0,4.0,10.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,7.0,1.0,2.0,2.0,4.0,1.0,1.0,12.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0
85,5.0,2.0,1.0,1.0,2.0,2.0,3.0,12.0,0.0,1.0,2.0,3.0,2.0,2.0,12.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,0.0,3.0,3.0,8.0,2.0,1.0,1.0,1.0,0.0,2.0,8.0
86,1.0,0.0,3.0,6.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,11.0,2.0,3.0,5.0,3.0,0.0,2.0,9.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,3.0,2.0,3.0,1.0,6.0
87,7.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,3.0,8.0,1.0,2.0,1.0,0.0,2.0,3.0,6.0,1.0,2.0,7.0,0.0,0.0,2.0,6.0
88,11.0,1.0,1.0,3.0,2.0,3.0,3.0,9.0,6.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,2.0,4.0,1.0,2.0,3.0,12.0,2.0,4.0,2.0,3.0,0.0,2.0,6.0,1.0,1.0,0.0,2.0,3.0,2.0,9.0
89,13.0,0.0,0.0,2.0,3.0,3.0,2.0,7.0,2.0,3.0,4.0,1.0,2.0,5.0,10.0,3.0,1.0,3.0,2.0,0.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,3.0,9.0,1.0,0.0,0.0,2.0,3.0,1.0,13.0
90,5.0,5.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,0.0,2.0,14.0,2.0,0.0,2.0,3.0,0.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0,5.0,5.0,2.0,4.0,0.0,1.0,9.0
91,9.0,1.0,3.0,0.0,2.0,1.0,1.0,11.0,3.0,4.0,4.0,3.0,3.0,0.0,7.0,3.0,3.0,1.0,0.0,1.0,3.0,7.0,1.0,5.0,0.0,1.0,0.0,2.0,6.0,7.0,1.0,3.0,0.0,4.0,4.0,8.0
